s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0221176E+000, 2.3318435E-001
 2.0236050E+000, 2.5000000E-002
 3.0000865E+000, 3.0069412E-002
 4.0009405E+000, 5.4016065E-002
 5.0023832E+000, 1.2534171E-001
 6.0037515E+000, 1.3638153E-001
 7.0036201E+000, 2.3422571E-001
 8.0027718E+000, 3.3994373E-001
 9.0035713E+000, 4.1673457E-001
 1.0000233E+001, 5.0655173E-001
 1.1001188E+001, 6.9250611E-001
 1.2000136E+001, 7.8668309E-001
 1.3004281E+001, 8.9988218E-001
 1.4002522E+001, 1.0452380E+000
 1.5000886E+001, 1.1810863E+000
 1.6004421E+001, 1.3231992E+000
 1.7001554E+001, 1.4866550E+000
 1.8004195E+001, 1.6460274E+000
 1.9001484E+001, 1.8059312E+000
 2.0003934E+001, 1.9701797E+000
 2.1000502E+001, 2.1403746E+000
 2.2002976E+001, 2.3055313E+000
 2.3003344E+001, 2.4693871E+000
 2.4001236E+001, 2.6336632E+000
 2.5003082E+001, 2.7962057E+000
 2.6001901E+001, 2.9550338E+000
 2.7002926E+001, 3.1093119E+000
 2.8001570E+001, 3.2588694E+000
 2.9002740E+001, 3.4095858E+000
 3.0002468E+001, 3.5549081E+000
 3.1004458E+001, 3.6857964E+000
 3.2004021E+001, 3.8231120E+000
 3.3003538E+001, 3.9594990E+000
 3.4000004E+001, 4.0895967E+000
 3.5000909E+001, 4.2261606E+000
 3.6003543E+001, 4.3303502E+000
 3.7002432E+001, 4.4451646E+000
 3.8002727E+001, 4.5549684E+000
 3.9003900E+001, 4.6722326E+000
 4.0002978E+001, 4.7747112E+000
 4.1000891E+001, 4.8925650E+000
 4.2001193E+001, 4.9890551E+000
 4.3004300E+001, 5.1424467E+000
 4.4004061E+001, 5.1896419E+000
 4.5003593E+001, 5.2577735E+000
 4.6002298E+001, 5.3662468E+000
 4.7002948E+001, 5.4630574E+000
 4.8002056E+001, 5.5672815E+000
 4.9002225E+001, 5.6881410E+000
 5.0004308E+001, 5.7666348E+000
 5.1004647E+001, 5.8843493E+000
 5.2001583E+001, 6.0094047E+000
 5.3004282E+001, 6.0816020E+000
 5.4001172E+001, 6.2038822E+000
 5.5002496E+001, 6.2862895E+000
 5.6003202E+001, 6.4044582E+000
 5.7003944E+001, 6.5004655E+000
 5.8001523E+001, 6.6038053E+000
 5.9003923E+001, 6.7025076E+000
 6.0002514E+001, 6.8023125E+000
 6.1003159E+001, 6.8854206E+000
 6.2002084E+001, 6.9815220E+000
 6.3001862E+001, 7.0746593E+000
 6.4001604E+001, 7.1676743E+000
 6.5004027E+001, 7.2595400E+000
 6.6001407E+001, 7.3552821E+000
 6.7001991E+001, 7.4493963E+000
 6.8002292E+001, 7.5085395E+000
 6.9000801E+001, 7.5957891E+000
 7.0002840E+001, 7.6648734E+000
 7.1001831E+001, 7.7324181E+000
 7.2003609E+001, 7.7894891E+000
 7.3002080E+001, 7.8487651E+000
 7.4005438E+001, 7.8772203E+000
 7.5006133E+001, 7.9170214E+000
 7.6001357E+001, 7.9255592E+000
