s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0092788E+000, 1.5084111E-001
 2.0125813E+000, 6.3426956E-002
 3.0025717E+000, 7.3644409E-002
 4.0010565E+000, 9.4925721E-002
 5.0061905E+000, 1.4662948E-001
 6.0043986E+000, 1.9920751E-001
 7.0033220E+000, 2.7311387E-001
 8.0023651E+000, 3.6653517E-001
 9.0037180E+000, 4.0263346E-001
 1.0000468E+001, 2.4017690E-001
 1.1002498E+001, 6.6784816E-001
 1.2004394E+001, 9.7628379E-001
 1.3004596E+001, 1.0088025E+000
 1.4001282E+001, 1.1557737E+000
 1.5004052E+001, 1.3154941E+000
 1.6000596E+001, 1.4878604E+000
 1.7000682E+001, 1.6747189E+000
 1.8003599E+001, 1.9036259E+000
 1.9003864E+001, 2.1135792E+000
 2.0003544E+001, 2.3364958E+000
 2.1002970E+001, 2.5468757E+000
 2.2002924E+001, 2.7462833E+000
 2.3001042E+001, 2.9425626E+000
 2.4000636E+001, 3.1404279E+000
 2.5001184E+001, 3.3793000E+000
 2.6001213E+001, 3.5358809E+000
 2.7001934E+001, 3.7647443E+000
 2.8001430E+001, 3.9716638E+000
 2.9001540E+001, 4.3554587E+000
 3.0004000E+001, 4.5432413E+000
 3.1002138E+001, 4.7192117E+000
 3.2001545E+001, 5.0185704E+000
 3.3003354E+001, 5.4686224E+000
 3.4003030E+001, 5.6694697E+000
 3.5000397E+001, 5.7911834E+000
 3.6003818E+001, 5.8461996E+000
 3.7002768E+001, 6.0464515E+000
 3.8002671E+001, 6.2439088E+000
 3.9002382E+001, 6.4302854E+000
 4.0000226E+001, 6.6026865E+000
 4.1003425E+001, 6.8249949E+000
 4.2003069E+001, 6.9852815E+000
 4.3000791E+001, 7.1762464E+000
 4.4000666E+001, 7.3537540E+000
 4.5002017E+001, 7.5325982E+000
 4.6003515E+001, 7.7061276E+000
 4.7001428E+001, 7.8964660E+000
 4.8001215E+001, 7.9555143E+000
