s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0088534E+000, 1.0050397E-001
 2.0097174E+000, 2.5000000E-002
 3.0082165E+000, 2.5000000E-002
 4.0062831E+000, 6.1826238E-002
 5.0029409E+000, 1.0731470E-001
 6.0062594E+000, 1.7286992E-001
 7.0008900E+000, 1.8406773E-001
 8.0013076E+000, 2.2152577E-001
 9.0013172E+000, 4.2555275E-001
 1.0000954E+001, 5.5440773E-001
 1.1005494E+001, 6.0487724E-001
 1.2004354E+001, 6.7023606E-001
 1.3003935E+001, 7.3715175E-001
 1.4000553E+001, 8.7565546E-001
 1.5001104E+001, 9.2763783E-001
 1.6001548E+001, 1.0400953E+000
 1.7002450E+001, 1.1519839E+000
 1.8001207E+001, 1.2319777E+000
 1.9000964E+001, 1.3361873E+000
 2.0002510E+001, 1.4347364E+000
 2.1003526E+001, 1.5701960E+000
 2.2004045E+001, 1.7070870E+000
 2.3001974E+001, 1.8554108E+000
 2.4003154E+001, 1.9341888E+000
 2.5000555E+001, 2.1575298E+000
 2.6000073E+001, 2.3645277E+000
 2.7001570E+001, 2.5422094E+000
 2.8001185E+001, 2.7244097E+000
 2.9001386E+001, 3.0232028E+000
 3.0000676E+001, 3.2726242E+000
 3.1002759E+001, 3.3446131E+000
 3.2002049E+001, 3.6432243E+000
 3.3004201E+001, 3.7879351E+000
 3.4002065E+001, 3.9801053E+000
 3.5003830E+001, 4.1596199E+000
 3.6001759E+001, 4.3437603E+000
 3.7000346E+001, 4.5014292E+000
 3.8003009E+001, 4.6676762E+000
 3.9003169E+001, 4.8281009E+000
 4.0001015E+001, 4.9967716E+000
 4.1001860E+001, 5.1379111E+000
 4.2000155E+001, 5.3047172E+000
 4.3001485E+001, 5.4601714E+000
 4.4003142E+001, 5.6175537E+000
 4.5000848E+001, 5.7690481E+000
 4.6001110E+001, 5.9205631E+000
 4.7002456E+001, 6.0762544E+000
 4.8000129E+001, 6.2507724E+000
 4.9003486E+001, 6.3830504E+000
 5.0004323E+001, 6.5389343E+000
 5.1003357E+001, 6.6899053E+000
 5.2003467E+001, 6.8448433E+000
 5.3002536E+001, 7.0044693E+000
 5.4003859E+001, 7.1567782E+000
 5.5001753E+001, 7.3120104E+000
 5.6001853E+001, 7.4608904E+000
 5.7001928E+001, 7.6161353E+000
 5.8003658E+001, 7.7714297E+000
 5.9004639E+001, 7.9367285E+000
 6.0003856E+001, 7.9507240E+000
