s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0078319E+000, 1.2328846E-001
 2.0037534E+000, 7.5000000E-002
 3.0070415E+000, 7.2752809E-002
 4.0022217E+000, 8.6401619E-002
 5.0017572E+000, 1.4474713E-001
 6.0055021E+000, 1.6847637E-001
 7.0038623E+000, 1.8323747E-001
 8.0034534E+000, 2.7225385E-001
 9.0023161E+000, 3.2435475E-001
 1.0004506E+001, 4.3181824E-001
 1.1002455E+001, 6.7657631E-001
 1.2004211E+001, 6.9654082E-001
 1.3003825E+001, 7.9493178E-001
 1.4001723E+001, 8.6725397E-001
 1.5000255E+001, 1.0250068E+000
 1.6001497E+001, 1.1101451E+000
 1.7002935E+001, 1.2241228E+000
 1.8000067E+001, 1.3545891E+000
 1.9002330E+001, 1.4764927E+000
 2.0001728E+001, 1.6030139E+000
 2.1003442E+001, 1.7302926E+000
 2.2002938E+001, 1.8944740E+000
 2.3003486E+001, 2.5224988E+000
 2.4001523E+001, 2.7719332E+000
 2.5003451E+001, 3.0194879E+000
 2.6000741E+001, 3.2273871E+000
 2.7002734E+001, 3.4617748E+000
 2.8001126E+001, 3.6768748E+000
 2.9003263E+001, 3.9102902E+000
 3.0002261E+001, 4.0819095E+000
 3.1002434E+001, 4.2308871E+000
 3.2000340E+001, 4.3825444E+000
 3.3002907E+001, 4.5626968E+000
 3.4001541E+001, 4.7323529E+000
 3.5002179E+001, 4.8804851E+000
 3.6002876E+001, 5.0529921E+000
 3.7002538E+001, 5.2359064E+000
 3.8002294E+001, 5.3797936E+000
 3.9002039E+001, 5.5432515E+000
 4.0000978E+001, 5.7072841E+000
 4.1003546E+001, 5.8633814E+000
 4.2002101E+001, 6.0494836E+000
 4.3002887E+001, 6.2229002E+000
 4.4000012E+001, 6.3986324E+000
 4.5000913E+001, 6.5528604E+000
 4.6001929E+001, 6.7503764E+000
 4.7002873E+001, 6.8921114E+000
 4.8003585E+001, 7.1669026E+000
 4.9000276E+001, 7.3697698E+000
 5.0000000E+001, 7.5423751E+000
